Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Manuel Neuer,99,toty,Germany,96,92,97,95,66,96,https://wefut.com/player/15/13090/manuel-neuer
Manuel Neuer,95,goldblue,Germany,94,90,95,93,64,94,https://wefut.com/player/15/14665/manuel-neuer
De Gea,92,goldblue,Spain,96,89,92,97,60,88,https://wefut.com/player/15/14587/de-gea
Manuel Neuer,91,special,Germany,90,87,92,90,58,92,https://wefut.com/player/15/14611/manuel-neuer
Peter Schmeichel,90,legend,Denmark,88,82,83,93,53,85,https://wefut.com/player/15/5658/peter-schmeichel
Gianluigi Buffon,90,goldblue,Italy,90,85,70,85,50,95,https://wefut.com/player/15/14792/gianluigi-buffon
Steve Mandanda,90,goldblue,France,95,93,85,94,60,94,https://wefut.com/player/15/14785/steve-mandanda
Claudio Bravo,90,goldblue,Chile,92,90,92,91,65,88,https://wefut.com/player/15/14724/claudio-bravo
Manuel Neuer,90,goldrare,Germany,87,85,92,86,58,90,https://wefut.com/player/15/2749/manuel-neuer
Edwin van der Sar,89,legend,Netherlands,84,86,80,87,40,92,https://wefut.com/player/15/477/edwin-van-der-sar
Jens Lehmann,88,legend,Germany,86,85,82,85,59,88,https://wefut.com/player/15/24/jens-lehmann
David Seaman,88,legend,England,78,90,93,85,50,88,https://wefut.com/player/15/1/david-seaman
Diego Alves,88,goldblue,Brazil,97,86,82,96,60,89,https://wefut.com/player/15/14734/diego-alves
Hugo Lloris,88,pink,France,92,87,73,94,65,89,https://wefut.com/player/15/15622/hugo-lloris
Thibaut Courtois,87,motm,Belgium,86,89,69,90,46,88,https://wefut.com/player/15/13352/thibaut-courtois
De Gea,87,goldif,Spain,92,83,87,93,53,84,https://wefut.com/player/15/13971/de-gea
Anthony Lopes,86,goldblue,Portugal,90,83,77,93,65,85,https://wefut.com/player/15/14775/anthony-lopes
Petr Čech,86,goldif,Czech Republic,87,88,73,88,45,87,https://wefut.com/player/15/17701/petr-cech
De Gea,86,goldif,Spain,91,81,87,90,53,82,https://wefut.com/player/15/13970/de-gea
Hugo Lloris,86,goldif,France,88,83,73,90,65,85,https://wefut.com/player/15/13054/hugo-lloris
Thibaut Courtois,86,goldrare,Belgium,84,87,69,88,46,86,https://wefut.com/player/15/6062/thibaut-courtois
Claudio Bravo,85,motm,Chile,90,88,85,90,58,87,https://wefut.com/player/15/14969/claudio-bravo
Joe Hart,85,purple,England,90,85,80,92,60,86,https://wefut.com/player/15/14602/joe-hart
Steve Mandanda,85,purple,France,89,89,88,79,55,89,https://wefut.com/player/15/14469/steve-mandanda
Samir Handanovič,85,goldif,Slovenia,89,85,65,88,58,87,https://wefut.com/player/15/14295/samir-handanovic
Manuel Neuer,96,toty,Germany,96,92,97,95,66,88,https://wefut.com/player/15/14006/stephane-ruffier
