Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Manuel Neuer,97,goldblue,Germany,94,95,98,94,67,97,https://wefut.com/player/17/20267/manuel-neuer
Gianluigi Buffon,95,goldblue,Italy,96,97,80,95,62,98,https://wefut.com/player/17/20721/gianluigi-buffon
De Gea,95,goldblue,Spain,95,91,93,96,63,93,https://wefut.com/player/17/20173/de-gea
Jan Oblak,94,goldblue,Slovenia,95,96,90,95,55,95,https://wefut.com/player/17/20636/jan-oblak
Hugo Lloris,94,goldblue,France,94,95,76,96,77,92,https://wefut.com/player/17/20183/hugo-lloris
Manuel Neuer,92,goldrare,Germany,89,90,95,89,58,91,https://wefut.com/player/17/1922/manuel-neuer
Danijel Subašić,91,goldblue,Croatia,92,90,88,93,62,93,https://wefut.com/player/17/20487/danijel-subasic
Peter Schmeichel,90,legend,Denmark,88,82,83,93,53,85,https://wefut.com/player/17/4496/peter-schmeichel
Gianluigi Donnarumma,90,goldblue,Italy,91,90,85,95,60,87,https://wefut.com/player/17/20728/gianluigi-donnarumma
Marc-André ter Stegen,90,goldblue,Germany,91,90,93,92,48,89,https://wefut.com/player/17/20646/marc-andre-ter-stegen
Cédric Carrasso,90,goldblue,France,90,92,91,92,50,90,https://wefut.com/player/17/20498/cedric-carrasso
De Gea,90,goldrare,Spain,88,85,87,90,56,85,https://wefut.com/player/17/5089/de-gea
Gianluigi Buffon,89,promo,Italy,90,91,71,88,54,93,https://wefut.com/player/17/19566/gianluigi-buffon
Gianluigi Buffon,89,bluepurple,Italy,89,90,72,88,54,92,https://wefut.com/player/17/16170/gianluigi-buffon
Kasper Schmeichel,89,redgold,Denmark,93,92,94,95,81,91,https://wefut.com/player/17/20412/kasper-schmeichel
Jan Oblak,89,redgold,Slovenia,90,92,85,89,50,90,https://wefut.com/player/17/19733/jan-oblak
Hugo Lloris,89,redgold,France,89,90,70,91,70,85,https://wefut.com/player/17/15865/hugo-lloris
Edwin van der Sar,89,legend,Netherlands,84,86,80,87,40,92,https://wefut.com/player/17/281/edwin-van-der-sar
Tim Howard,89,goldblue,United States,90,86,87,89,60,89,https://wefut.com/player/17/22553/tim-howard
Alexandr Belenov,89,goldblue,Russia,88,84,86,92,68,91,https://wefut.com/player/17/20678/alexandr-belenov
Ederson,89,goldblue,Brazil,90,89,92,95,72,86,https://wefut.com/player/17/20536/ederson
Kasper Schmeichel,89,goldif,Denmark,93,92,94,95,81,91,https://wefut.com/player/17/20046/kasper-schmeichel
Jan Oblak,89,goldif,Slovenia,90,92,85,89,50,90,https://wefut.com/player/17/19405/jan-oblak
Hugo Lloris,89,goldif,France,89,90,70,91,70,85,https://wefut.com/player/17/15632/hugo-lloris
Manuel Neuer,98,toty,Belgium,84,91,69,89,46,86,https://wefut.com/player/17/4882/thibaut-courtois
Kasper Schmeichel,88,promo,Denmark,90,89,92,92,78,89,https://wefut.com/player/17/19577/kasper-schmeichel
Jan Oblak,88,bluemotm,Slovenia,87,91,81,86,46,89,https://wefut.com/player/17/19170/jan-oblak
Bernd Leno,88,redgold,Germany,90,91,87,89,55,90,https://wefut.com/player/17/19756/bernd-leno
Samir Handanovič,88,redgold,Slovenia,89,91,74,90,60,89,https://wefut.com/player/17/17032/samir-handanovic
Jens Lehmann,88,legend,Germany,86,85,82,85,59,88,https://wefut.com/player/17/21/jens-lehmann
David Seaman,88,legend,England,78,90,93,85,50,88,https://wefut.com/player/17/1/david-seaman
Casillas,88,goldblue,Spain,91,80,65,92,70,88,https://wefut.com/player/17/20545/casillas
Nahuel Guzmán,88,goldblue,Argentina,87,88,82,90,60,89,https://wefut.com/player/17/20513/nahuel-guzman
Oliver Baumann,88,goldblue,Germany,90,88,65,90,60,85,https://wefut.com/player/17/20053/oliver-baumann
Bernd Leno,88,goldif,Germany,90,91,87,89,55,90,https://wefut.com/player/17/19543/bernd-leno
Samir Handanovič,88,goldif,Slovenia,89,91,74,90,60,89,https://wefut.com/player/17/16212/samir-handanovic
Hugo Lloris,88,goldrare,France,87,87,68,90,65,82,https://wefut.com/player/17/1968/hugo-lloris
Petr Čech,88,goldrare,Czech Republic,83,90,77,85,45,85,https://wefut.com/player/17/229/petr-cech
Gianluigi Buffon,88,goldrare,Italy,87,88,68,84,49,90,https://wefut.com/player/17/32/gianluigi-buffon
Claudio Bravo,87,redmotm,Chile,89,90,92,91,65,86,https://wefut.com/player/17/20814/claudio-bravo
Kasper Schmeichel,87,bluemotm,Denmark,89,88,91,90,74,87,https://wefut.com/player/17/19169/kasper-schmeichel
Yann Sommer,87,bluemotm,Switzerland,89,88,89,90,56,88,https://wefut.com/player/17/19105/yann-sommer
Ralf Fährmann,87,redgold,Germany,90,91,60,93,47,90,https://wefut.com/player/17/20450/ralf-fahrmann
Bernd Leno,87,redgold,Germany,87,89,84,86,50,88,https://wefut.com/player/17/19053/bernd-leno
Vitor Baía,87,legend,Portugal,90,88,80,88,64,83,https://wefut.com/player/17/150/vitor-baia
Franco Armani,87,goldblue,Argentina,86,82,75,87,38,89,https://wefut.com/player/17/20741/franco-armani
