Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Manuel Neuer,96,toty,Germany,95,92,96,95,66,97,https://wefut.com/player/16/14914/manuel-neuer
Manuel Neuer,94,imotm,Germany,94,92,91,94,58,95,https://wefut.com/player/16/18432/manuel-neuer
De Gea,94,goldblue,Spain,96,94,91,96,56,95,https://wefut.com/player/16/17577/de-gea
Manuel Neuer,93,imotm,Germany,92,92,91,93,58,94,https://wefut.com/player/16/18257/manuel-neuer
Gianluigi Buffon,93,goldblue,Italy,94,92,75,94,53,97,https://wefut.com/player/16/17867/gianluigi-buffon
Petr Čech,93,goldblue,Czech Republic,92,93,83,94,53,94,https://wefut.com/player/16/17572/petr-cech
Stéphane Ruffier,92,goldblue,France,95,94,81,96,60,95,https://wefut.com/player/16/17854/stephane-ruffier
Manuel Neuer,92,goldif,Germany,90,91,91,91,58,93,https://wefut.com/player/16/16854/manuel-neuer
Steve Mandanda,91,goldblue,France,95,92,83,94,56,91,https://wefut.com/player/16/17862/steve-mandanda
Manuel Neuer,91,goldif,Germany,88,90,91,89,58,92,https://wefut.com/player/16/14254/manuel-neuer
Peter Schmeichel,90,legend,Denmark,88,82,83,93,53,85,https://wefut.com/player/16/4995/peter-schmeichel
Keylor Navas,90,goldblue,Costa Rica,92,91,74,93,66,90,https://wefut.com/player/16/17764/keylor-navas
Ralf Fährmann,90,goldblue,Germany,92,91,70,93,46,93,https://wefut.com/player/16/17656/ralf-fahrmann
Gianluigi Buffon,90,pink,Italy,92,91,71,92,49,96,https://wefut.com/player/16/19902/gianluigi-buffon
Manuel Neuer,90,goldrare,Germany,85,87,91,86,58,90,https://wefut.com/player/16/2267/manuel-neuer
Júlio César,89,imotm,Brazil,91,88,72,92,46,89,https://wefut.com/player/16/18131/julio-cesar
Edwin van der Sar,89,legend,Netherlands,84,86,80,87,40,92,https://wefut.com/player/16/359/edwin-van-der-sar
Jan Oblak,89,goldblue,Slovenia,87,90,77,91,54,90,https://wefut.com/player/16/17754/jan-oblak
Gianluigi Buffon,88,imotm,Italy,91,90,71,91,49,95,https://wefut.com/player/16/18442/gianluigi-buffon
Jens Lehmann,88,legend,Germany,86,85,82,85,59,88,https://wefut.com/player/16/20/jens-lehmann
David Seaman,88,legend,England,78,90,93,85,50,88,https://wefut.com/player/16/1/david-seaman
Vincent Enyeama,88,goldblue,Nigeria,88,89,82,96,54,88,https://wefut.com/player/16/17843/vincent-enyeama
Rui Patrício,88,goldblue,Portugal,92,88,87,88,55,88,https://wefut.com/player/16/17705/rui-patricio
Jasper Cillessen,88,goldblue,Netherlands,88,89,80,86,58,89,https://wefut.com/player/16/17604/jasper-cillessen
Júlio César,88,goldblue,Brazil,91,85,70,90,43,89,https://wefut.com/player/16/17428/julio-cesar
Vitor Baía,87,legend,Portugal,90,88,80,88,64,83,https://wefut.com/player/16/179/vitor-baia
Anthony Lopes,87,goldblue,Portugal,90,84,75,91,63,85,https://wefut.com/player/16/17439/anthony-lopes
Hugo Lloris,87,pink,France,90,88,69,91,65,87,https://wefut.com/player/16/19877/hugo-lloris
Petr Čech,87,special,Czech Republic,86,88,77,88,48,89,https://wefut.com/player/16/16205/petr-cech
Samir Handanovič,87,goldif,Slovenia,92,91,65,92,55,93,https://wefut.com/player/16/21339/samir-handanovic
Gianluigi Buffon,87,goldif,Italy,90,88,71,90,49,94,https://wefut.com/player/16/17292/gianluigi-buffon
De Gea,87,goldif,Spain,90,85,86,91,51,87,https://wefut.com/player/16/14245/de-gea
Volkan Demirel,86,goldblue,Turkey,88,86,85,87,41,84,https://wefut.com/player/16/17908/volkan-demirel
Roberto,86,goldblue,Spain,87,76,78,90,50,85,https://wefut.com/player/16/17890/roberto
Stefano Sorrentino,86,goldblue,Italy,88,86,68,87,38,88,https://wefut.com/player/16/17882/stefano-sorrentino
Emiliano Viviano,86,goldblue,Italy,88,86,72,89,34,85,https://wefut.com/player/16/17876/emiliano-viviano
Jack Butland,86,goldblue,England,90,88,81,91,56,87,https://wefut.com/player/16/17562/jack-butland
Gianluigi Buffon,86,special,Italy,89,86,71,89,49,93,https://wefut.com/player/16/17140/gianluigi-buffon
Stéphane Ruffier,86,goldif,France,91,90,77,92,55,91,https://wefut.com/player/16/17503/stephane-ruffier
Bernd Leno,86,goldif,Germany,88,88,81,89,50,87,https://wefut.com/player/16/17402/bernd-leno
Steve Mandanda,86,goldif,France,90,83,79,89,53,88,https://wefut.com/player/16/17086/steve-mandanda
Samir Handanovič,86,goldif,Slovenia,91,89,65,91,55,91,https://wefut.com/player/16/16700/samir-handanovic
Casillas,86,goldif,Spain,90,87,67,91,65,87,https://wefut.com/player/16/16549/casillas
Petr Čech,86,goldrare,Czech Republic,83,84,77,85,48,85,https://wefut.com/player/16/16185/petr-cech
De Gea,86,goldrare,Spain,88,81,86,89,51,83,https://wefut.com/player/16/5606/de-gea
Thibaut Courtois,86,goldrare,Belgium,84,87,69,88,46,86,https://wefut.com/player/16/5380/thibaut-courtois
José Reina,85,imotm,Spain,85,80,90,86,57,85,https://wefut.com/player/16/18236/jose-reina
Alphonse Aréola,85,goldblue,France,88,82,75,89,58,84,https://wefut.com/player/16/17446/alphonse-areola
Joe Hart,85,motm,England,87,84,76,89,59,86,https://wefut.com/player/16/17401/joe-hart
Samir Handanovič,85,goldif,Slovenia,89,86,65,89,55,89,https://wefut.com/player/16/16699/samir-handanovic
Steve Mandanda,85,goldif,France,89,86,79,88,53,87,https://wefut.com/player/16/15659/steve-mandanda
Stéphane Ruffier,85,goldif,France,89,88,77,90,55,89,https://wefut.com/player/16/15318/stephane-ruffier
Gianluigi Buffon,85,goldif,Italy,88,83,71,87,49,92,https://wefut.com/player/16/14573/gianluigi-buffon
Casillas,85,goldif,Spain,89,84,67,90,65,84,https://wefut.com/player/16/14527/casillas
Hugo Lloris,85,goldrare,France,87,83,69,88,65,82,https://wefut.com/player/16/16019/hugo-lloris
Petr Čech,85,goldrare,Czech Republic,83,84,73,84,45,83,https://wefut.com/player/16/291/petr-cech
Yann Sommer,84,imotm,Switzerland,89,88,85,89,48,83,https://wefut.com/player/16/18449/yann-sommer
Claudio Bravo,84,imotm,Chile,86,85,84,88,58,82,https://wefut.com/player/16/18214/claudio-bravo
Loris Karius,84,goldblue,Germany,86,81,81,88,54,85,https://wefut.com/player/16/17666/loris-karius
Samir Handanovič,84,pink,Slovenia,87,81,65,87,55,87,https://wefut.com/player/16/19879/samir-handanovic
Bernd Leno,84,pink,Germany,84,84,81,85,46,83,https://wefut.com/player/16/19878/bernd-leno
Diego Alves,84,goldif,Brazil,89,80,76,89,55,82,https://wefut.com/player/16/17341/diego-alves
Keylor Navas,84,goldif,Costa Rica,87,86,70,88,61,85,https://wefut.com/player/16/17158/keylor-navas
Ralf Fährmann,84,goldif,Germany,87,86,65,89,41,88,https://wefut.com/player/16/17039/ralf-fahrmann
Kevin Trapp,84,goldif,Germany,87,86,79,88,45,86,https://wefut.com/player/16/15907/kevin-trapp
Stéphane Ruffier,84,goldif,France,86,85,77,88,55,86,https://wefut.com/player/16/14620/stephane-ruffier
Steve Mandanda,84,goldif,France,87,83,79,86,53,85,https://wefut.com/player/16/14503/steve-mandanda
Joe Hart,84,goldrare,England,85,81,76,88,59,84,https://wefut.com/player/16/21315/joe-hart
Samir Handanovič,84,goldrare,Slovenia,87,81,65,87,55,87,https://wefut.com/player/16/16673/samir-handanovic
Joe Hart,84,goldrare,England,85,81,76,88,59,84,https://wefut.com/player/16/16671/joe-hart
Bernd Leno,84,goldrare,Germany,84,84,81,85,46,83,https://wefut.com/player/16/5484/bernd-leno
Hugo Lloris,84,goldrare,France,86,82,68,88,65,81,https://wefut.com/player/16/2318/hugo-lloris
Casillas,84,goldrare,Spain,87,79,67,88,65,79,https://wefut.com/player/16/77/casillas
Yann Sommer,83,imotm,Switzerland,87,85,85,88,48,80,https://wefut.com/player/16/18159/yann-sommer
Sergey Ryzhikov,83,goldblue,Russia,82,80,66,84,65,82,https://wefut.com/player/16/17805/sergey-ryzhikov
Jan Oblak,83,motm,Slovenia,83,86,73,87,50,86,https://wefut.com/player/16/17502/jan-oblak
Salvatore Sirigu,83,motm,Italy,86,83,75,86,50,83,https://wefut.com/player/16/17322/salvatore-sirigu
Keylor Navas,83,goldif,Costa Rica,85,84,70,87,61,83,https://wefut.com/player/16/16837/keylor-navas
Vincent Enyeama,83,goldif,Nigeria,83,84,77,92,50,84,https://wefut.com/player/16/16705/vincent-enyeama
Ralf Fährmann,83,goldif,Germany,85,84,65,88,41,86,https://wefut.com/player/16/16691/ralf-fahrmann
Victor Valdés,83,goldif,Spain,85,81,77,85,60,87,https://wefut.com/player/16/15925/victor-valdes
Kevin Trapp,83,goldif,Germany,85,83,79,87,45,84,https://wefut.com/player/16/14224/kevin-trapp
Claudio Bravo,83,goldrare,Chile,83,82,84,86,58,78,https://wefut.com/player/16/21311/claudio-bravo
Steve Mandanda,83,goldrare,France,85,78,79,84,53,81,https://wefut.com/player/16/18407/steve-mandanda
Claudio Bravo,83,goldrare,Chile,83,82,84,86,58,78,https://wefut.com/player/16/2889/claudio-bravo
Stéphane Ruffier,83,goldrare,France,83,81,77,86,55,83,https://wefut.com/player/16/2287/stephane-ruffier
Diego Alves,83,goldrare,Brazil,88,76,76,88,55,77,https://wefut.com/player/16/2177/diego-alves
Steve Mandanda,83,goldrare,France,85,78,79,84,53,81,https://wefut.com/player/16/2006/steve-mandanda
Samir Handanovič,83,goldrare,Slovenia,87,79,65,86,54,86,https://wefut.com/player/16/1900/samir-handanovic
Joe Hart,83,goldrare,England,85,78,76,86,59,80,https://wefut.com/player/16/1349/joe-hart
David Ospina,82,imotm,Colombia,87,78,78,87,34,83,https://wefut.com/player/16/18191/david-ospina
Charles Itandje,82,goldblue,Cameroon,83,76,78,84,46,81,https://wefut.com/player/16/17925/charles-itandje
Zydrunas Karcemarskas,82,goldblue,Lithuania,82,83,75,83,42,82,https://wefut.com/player/16/17918/zydrunas-karcemarskas
Franco Armani,82,goldblue,Argentina,81,80,70,85,35,81,https://wefut.com/player/16/17777/franco-armani
Paweł Kieszek,82,goldblue,Poland,81,80,76,83,55,81,https://wefut.com/player/16/17715/pawel-kieszek
Marc-André ter Stegen,82,pink,Germany,83,81,82,85,38,78,https://wefut.com/player/16/19880/marc-andre-ter-stegen
Igor Akinfeev,82,purple,Russia,86,80,79,87,51,81,https://wefut.com/player/16/17825/igor-akinfeev
Rui Patrício,82,goldif,Portugal,87,84,83,84,50,82,https://wefut.com/player/16/14568/rui-patricio
Vincent Enyeama,82,goldif,Nigeria,81,82,77,91,50,81,https://wefut.com/player/16/14170/vincent-enyeama
Diego López,82,goldrare,Spain,81,77,77,83,34,87,https://wefut.com/player/16/21308/diego-lopez
Salvatore Sirigu,82,goldrare,Italy,84,79,75,84,50,80,https://wefut.com/player/16/21306/salvatore-sirigu
Jasper Cillessen,82,goldrare,Netherlands,80,84,74,79,54,82,https://wefut.com/player/16/21304/jasper-cillessen
Victor Valdés,82,goldrare,Spain,82,78,77,83,60,85,https://wefut.com/player/16/19382/victor-valdes
Keylor Navas,82,goldrare,Costa Rica,83,78,70,85,61,79,https://wefut.com/player/16/16815/keylor-navas
Ralf Fährmann,82,goldrare,Germany,83,81,65,86,41,83,https://wefut.com/player/16/16668/ralf-fahrmann
Jan Oblak,82,goldrare,Slovenia,79,84,73,83,50,84,https://wefut.com/player/16/16017/jan-oblak
Victor Valdés,82,goldrare,Spain,82,78,77,83,60,85,https://wefut.com/player/16/15876/victor-valdes
Jasper Cillessen,82,goldrare,Netherlands,80,84,74,79,54,82,https://wefut.com/player/16/6679/jasper-cillessen
Marc-André ter Stegen,82,goldrare,Germany,83,81,82,85,38,78,https://wefut.com/player/16/5455/marc-andre-ter-stegen
Kevin Trapp,82,goldrare,Germany,83,79,79,85,45,80,https://wefut.com/player/16/4702/kevin-trapp
Fernando Muslera,82,goldrare,Uruguay,83,80,75,86,60,83,https://wefut.com/player/16/3673/fernando-muslera
Yann Sommer,82,goldrare,Switzerland,84,82,85,86,48,76,https://wefut.com/player/16/3207/yann-sommer
Asmir Begović,82,goldrare,Bosnia Herzegovina,83,80,74,84,52,80,https://wefut.com/player/16/2760/asmir-begovic
Salvatore Sirigu,82,goldrare,Italy,84,79,75,84,50,80,https://wefut.com/player/16/2334/salvatore-sirigu
Diego López,82,goldrare,Spain,81,77,77,83,34,87,https://wefut.com/player/16/1196/diego-lopez
Victor Valdés,82,goldrare,Spain,82,78,77,83,60,85,https://wefut.com/player/16/513/victor-valdes
Júlio César,82,goldrare,Brazil,84,78,67,85,39,82,https://wefut.com/player/16/287/julio-cesar
Sergio Romero,81,goldif,Argentina,82,75,81,86,44,80,https://wefut.com/player/16/21327/sergio-romero
Guillermo Ochoa,81,goldif,Mexico,85,70,77,89,47,81,https://wefut.com/player/16/17745/guillermo-ochoa
Federico Marchetti,81,goldif,Italy,84,80,66,89,55,80,https://wefut.com/player/16/17633/federico-marchetti
Oliver Baumann,81,goldif,Germany,86,84,54,88,47,83,https://wefut.com/player/16/17521/oliver-baumann
René Adler,82,goldif,Germany,86,85,74,86,46,83,https://wefut.com/player/16/16836/rene-adler
Timo Horn,81,goldif,Germany,82,82,79,86,47,85,https://wefut.com/player/16/16195/timo-horn
Ron-Robert Zieler,81,goldif,Germany,82,83,66,85,46,84,https://wefut.com/player/16/14270/ron-robert-zieler
Cédric Carrasso,81,goldif,France,81,82,81,84,38,82,https://wefut.com/player/16/14199/cedric-carrasso
José Reina,81,goldrare,Spain,81,79,83,84,55,84,https://wefut.com/player/16/16013/jose-reina
Jan Oblak,81,goldrare,Slovenia,77,84,72,82,43,83,https://wefut.com/player/16/6762/jan-oblak
Anthony Lopes,81,goldrare,Portugal,85,76,72,87,60,77,https://wefut.com/player/16/6519/anthony-lopes
Mattia Perin,81,goldrare,Italy,80,78,71,90,57,78,https://wefut.com/player/16/6159/mattia-perin
Danijel Subašić,81,goldrare,Croatia,82,78,79,83,51,81,https://wefut.com/player/16/5492/danijel-subasic
Ralf Fährmann,81,goldrare,Germany,82,79,65,85,38,81,https://wefut.com/player/16/3448/ralf-fahrmann
Sergio Asenjo,81,goldrare,Spain,84,81,80,83,59,81,https://wefut.com/player/16/3391/sergio-asenjo
Rui Patrício,81,goldrare,Portugal,84,80,83,80,50,79,https://wefut.com/player/16/3266/rui-patricio
Kiko Casilla,81,goldrare,Spain,83,82,80,81,32,82,https://wefut.com/player/16/3197/kiko-casilla
Benoît Costil,81,goldrare,France,82,80,78,85,49,82,https://wefut.com/player/16/1687/benoit-costil
Igor Akinfeev,81,goldrare,Russia,83,75,79,85,51,78,https://wefut.com/player/16/1237/igor-akinfeev
Vincent Enyeama,81,goldrare,Nigeria,78,80,77,90,50,78,https://wefut.com/player/16/961/vincent-enyeama
Helton,81,goldrare,Brazil,83,78,74,85,64,77,https://wefut.com/player/16/908/helton
Diego Benaglio,81,goldrare,Switzerland,84,78,64,81,42,80,https://wefut.com/player/16/586/diego-benaglio
Moyá,81,goldrare,Spain,85,80,81,80,46,82,https://wefut.com/player/16/543/moya
Sergio Romero,80,imotm,Argentina,80,72,81,86,44,76,https://wefut.com/player/16/18200/sergio-romero
David Ospina,80,imotm,Colombia,85,75,78,86,34,80,https://wefut.com/player/16/18154/david-ospina
Matz Sels,80,goldblue,Belgium,86,77,76,85,41,80,https://wefut.com/player/16/17595/matz-sels
Willy Caballero,80,motm,Argentina,83,74,69,85,49,84,https://wefut.com/player/16/16852/willy-caballero
Felix Wiedwald,80,purple,Germany,80,76,67,82,34,78,https://wefut.com/player/16/17727/felix-wiedwald
Kasper Schmeichel,80,purple,Denmark,82,76,85,84,44,77,https://wefut.com/player/16/17582/kasper-schmeichel
Orestis Karnezis,80,goldif,Greece,82,78,71,86,44,82,https://wefut.com/player/16/20876/orestis-karnezis
Alexandr Belenov,80,goldif,Russia,80,81,71,81,54,83,https://wefut.com/player/16/20858/alexandr-belenov
Nahuel Guzmán,80,goldif,Argentina,80,80,71,82,51,81,https://wefut.com/player/16/20712/nahuel-guzman
Agustín Marchesín,80,goldif,Argentina,83,80,75,82,27,78,https://wefut.com/player/16/19858/agustin-marchesin
Bill Hamid,80,goldif,United States,80,78,65,82,52,74,https://wefut.com/player/16/18167/bill-hamid
Emiliano Viviano,80,goldif,Italy,83,80,68,85,30,80,https://wefut.com/player/16/17420/emiliano-viviano
Gomes,80,goldif,Brazil,83,72,62,84,50,78,https://wefut.com/player/16/17323/gomes
Gerónimo Rulli,80,goldif,Argentina,84,81,70,85,54,80,https://wefut.com/player/16/17310/geronimo-rulli
Carlos Idriss Kameni,80,goldif,Cameroon,85,84,70,89,44,79,https://wefut.com/player/16/16829/carlos-idriss-kameni
Jack Butland,80,goldif,England,85,83,75,87,51,82,https://wefut.com/player/16/16686/jack-butland
Fraser Forster,80,goldif,England,77,80,74,84,32,80,https://wefut.com/player/16/16075/fraser-forster
Oliver Baumann,80,goldif,Germany,84,80,54,86,47,80,https://wefut.com/player/16/15677/oliver-baumann
Alfredo Talavera,80,goldif,Mexico,84,76,71,85,55,80,https://wefut.com/player/16/14938/alfredo-talavera
Andrea Consigli,80,goldif,Italy,85,81,72,86,48,83,https://wefut.com/player/16/14931/andrea-consigli
Stefano Sorrentino,80,goldif,Italy,83,80,63,82,33,84,https://wefut.com/player/16/14919/stefano-sorrentino
Artur Boruc,80,goldif,Poland,84,76,62,85,41,80,https://wefut.com/player/16/14758/artur-boruc
Guillermo Ochoa,80,goldrare,Mexico,83,67,77,87,47,79,https://wefut.com/player/16/20324/guillermo-ochoa
Tim Howard,80,goldrare,United States,82,76,77,82,50,81,https://wefut.com/player/16/18392/tim-howard
Roberto,80,goldrare,Spain,83,71,73,86,45,79,https://wefut.com/player/16/18386/roberto
