Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Gianluigi Buffon,97,flashback,Italy,98,96,90,98,60,99,https://wefut.com/player/20/24261/gianluigi-buffon
Alisson,97,toty,Brazil,97,92,95,97,70,95,https://wefut.com/player/20/18049/alisson
Jan Oblak,96,goldblue,Slovenia,95,98,85,95,55,96,https://wefut.com/player/20/22114/jan-oblak
Samir Handanovič,96,elfinal,Slovenia,98,97,84,98,62,98,https://wefut.com/player/20/20980/samir-handanovic
Lev Yashin,95,legend,Russia,98,91,76,99,66,99,https://wefut.com/player/20/19483/lev-yashin
Wojciech Szczęsny,95,goldblue,Poland,96,92,84,98,58,96,https://wefut.com/player/20/22210/wojciech-szczesny
Marc-André ter Stegen,95,goldblue,Germany,96,93,94,97,48,95,https://wefut.com/player/20/22117/marc-andre-ter-stegen
Samir Handanovič,94,goldblue,Slovenia,95,92,77,97,60,97,https://wefut.com/player/20/22212/samir-handanovic
Yann Sommer,94,goldblue,Switzerland,91,95,92,95,60,91,https://wefut.com/player/20/22162/yann-sommer
Lev Yashin,94,legend,Russia,95,89,75,96,60,95,https://wefut.com/player/20/12225/lev-yashin
Peter Schmeichel,93,legend,Denmark,95,90,91,96,54,93,https://wefut.com/player/20/19518/peter-schmeichel
Thibaut Courtois,93,goldblue,Belgium,92,95,78,92,53,92,https://wefut.com/player/20/22015/thibaut-courtois
Nick Pope,93,swap10,England,93,95,91,95,64,94,https://wefut.com/player/20/22536/nick-pope
De Gea,92,playermoments,Spain,94,88,86,95,60,90,https://wefut.com/player/20/22065/de-gea
Edwin van der Sar,92,legend,Netherlands,88,92,83,91,42,97,https://wefut.com/player/20/19533/edwin-van-der-sar
Steve Mandanda,92,goldblue,France,92,92,89,94,61,90,https://wefut.com/player/20/22279/steve-mandanda
Jan Oblak,92,toty,Slovenia,88,93,79,90,51,91,https://wefut.com/player/20/17925/jan-oblak
Marc-André ter Stegen,92,showdown,Germany,92,88,90,93,45,91,https://wefut.com/player/20/21969/marc-andre-ter-stegen
Manuel Neuer,92,flashback,Germany,92,91,95,91,63,92,https://wefut.com/player/20/18060/manuel-neuer
Jan Oblak,92,championsleague,Slovenia,89,93,79,91,51,91,https://wefut.com/player/20/21689/jan-oblak
Peter Schmeichel,92,legend,Denmark,92,87,88,94,49,90,https://wefut.com/player/20/12250/peter-schmeichel
Jens Lehmann,91,legend,Germany,90,94,88,90,60,92,https://wefut.com/player/20/19547/jens-lehmann
Marc-André ter Stegen,91,promo,Germany,90,86,89,92,44,90,https://wefut.com/player/20/17830/marc-andre-ter-stegen
Lukáš Hrádecký,91,goldblue,Finland,91,89,79,93,48,91,https://wefut.com/player/20/22169/lukas-hradecky
Alisson,97,goldblue,Brazil,98,92,95,91,44,89,https://wefut.com/player/20/17923/marc-andre-ter-stegen
Manuel Neuer,91,championsleague,Germany,91,91,94,92,59,91,https://wefut.com/player/20/23346/manuel-neuer
Jan Oblak,91,championsleague,Slovenia,87,92,78,89,50,90,https://wefut.com/player/20/17573/jan-oblak
Lev Yashin,91,legend,Russia,93,85,73,93,62,92,https://wefut.com/player/20/12169/lev-yashin
Edwin van der Sar,91,legend,Netherlands,85,90,81,89,40,95,https://wefut.com/player/20/109/edwin-van-der-sar
Keylor Navas,91,goldif,Costa Rica,94,90,80,94,58,91,https://wefut.com/player/20/24297/keylor-navas
Jan Oblak,91,goldrare,Slovenia,87,92,78,89,50,90,https://wefut.com/player/20/3673/jan-oblak
Thibaut Courtois,90,laligapotm,Belgium,89,91,74,90,50,89,https://wefut.com/player/20/19336/thibaut-courtois
Alisson,90,toty,Brazil,86,85,86,90,53,91,https://wefut.com/player/20/17915/alisson
Franco Armani,90,swap5,Argentina,89,86,80,93,50,91,https://wefut.com/player/20/21172/franco-armani
Hugo Lloris,90,clfinal,France,91,86,70,93,66,88,https://wefut.com/player/20/17722/hugo-lloris
Marc-André ter Stegen,90,championsleague,Germany,88,85,88,90,43,88,https://wefut.com/player/20/17568/marc-andre-ter-stegen
De Gea,90,futmas,Spain,92,86,82,93,58,87,https://wefut.com/player/20/17979/de-gea
Jens Lehmann,90,legend,Germany,87,91,86,86,57,90,https://wefut.com/player/20/12527/jens-lehmann
Peter Schmeichel,90,legend,Denmark,89,84,85,93,50,86,https://wefut.com/player/20/2371/peter-schmeichel
