Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
De Gea,97,goldblue,Spain,96,93,94,99,72,93,https://wefut.com/player/18/18878/de-gea
De Gea,97,toty,Spain,97,92,95,98,72,92,https://wefut.com/player/18/16602/de-gea
Hugo Lloris,96,fof,France,97,95,83,97,78,91,https://wefut.com/player/18/20714/hugo-lloris
Gianluigi Buffon,96,fof,Italy,96,97,85,95,66,98,https://wefut.com/player/18/20547/gianluigi-buffon
Casillas,95,fof,Spain,97,91,73,97,72,92,https://wefut.com/player/18/20552/casillas
Samir Handanovič,95,goldblue,Slovenia,95,94,85,95,70,95,https://wefut.com/player/18/19074/samir-handanovic
Lev Yashin,94,worldcup-icon,Russia,95,89,75,96,60,95,https://wefut.com/player/18/19140/lev-yashin
De Gea,94,eumotm,Spain,95,91,91,95,65,92,https://wefut.com/player/18/17740/de-gea
Lev Yashin,94,legend,Russia,95,89,75,96,65,95,https://wefut.com/player/18/13548/lev-yashin
Marc-André ter Stegen,94,goldblue,Germany,94,93,94,96,58,93,https://wefut.com/player/18/18941/marc-andre-ter-stegen
Thibaut Courtois,94,goldblue,Belgium,91,96,75,94,58,91,https://wefut.com/player/18/18811/thibaut-courtois
Hugo Lloris,93,fof,France,94,92,76,95,72,88,https://wefut.com/player/18/20708/hugo-lloris
Tim Howard,93,fof,United States,93,92,85,95,60,89,https://wefut.com/player/18/20665/tim-howard
Jeroen Zoet,93,goldblue,Netherlands,93,89,90,93,68,90,https://wefut.com/player/18/19127/jeroen-zoet
Benjamin Lecomte,93,goldblue,France,93,91,94,95,70,92,https://wefut.com/player/18/19097/benjamin-lecomte
Lukáš Hrádecký,93,goldblue,Finland,92,90,86,93,60,92,https://wefut.com/player/18/19006/lukas-hradecky
Jan Oblak,93,goldblue,Slovenia,91,96,83,91,54,93,https://wefut.com/player/18/18793/jan-oblak
De Gea,93,goldif,Spain,94,90,89,94,61,91,https://wefut.com/player/18/17725/de-gea
Asmir Begović,92,pinkgold,Bosnia Herzegovina,91,90,82,92,70,90,https://wefut.com/player/18/22205/asmir-begovic
Thibaut Courtois,92,worldcup,Belgium,91,93,78,94,58,93,https://wefut.com/player/18/20740/thibaut-courtois
