Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Nick Pope,98,playermoments,England,96,97,90,98,70,96,https://wefut.com/player/22/23578/nick-pope
Gianluigi Donnarumma,96,toty,Italy,98,90,90,97,63,92,https://wefut.com/player/22/18317/gianluigi-donnarumma
Steve Mandanda,95,pink,France,96,95,91,98,65,96,https://wefut.com/player/22/22453/steve-mandanda
Lev Yashin,95,legend,Russia,98,90,76,99,62,98,https://wefut.com/player/22/20408/lev-yashin
Thibaut Courtois,95,goldblue,Belgium,92,95,82,94,70,93,https://wefut.com/player/22/21768/thibaut-courtois
Manuel Neuer,95,goldblue,Germany,93,95,96,94,70,95,https://wefut.com/player/22/21704/manuel-neuer
Alisson,95,goldblue,Brazil,94,93,90,96,91,96,https://wefut.com/player/22/21603/alisson
Hugo Lloris,95,goldblue,France,96,94,75,98,75,94,https://wefut.com/player/22/21538/hugo-lloris
Lev Yashin,94,legend,Russia,95,89,75,96,60,95,https://wefut.com/player/22/18096/lev-yashin
Alban Lafont,94,goldblue,France,94,93,85,96,70,93,https://wefut.com/player/22/21841/alban-lafont
Marc-André ter Stegen,93,numbersup,Germany,91,99,91,93,46,91,https://wefut.com/player/22/17657/marc-andre-ter-stegen
Casillas,93,legend,Spain,95,91,89,97,62,92,https://wefut.com/player/22/20423/casillas
Peter Schmeichel,93,legend,Denmark,93,89,91,95,52,92,https://wefut.com/player/22/20298/peter-schmeichel
De Gea,93,goldblue,Spain,95,91,86,96,70,91,https://wefut.com/player/22/21612/de-gea
Manuel Neuer,93,birthday,Germany,91,92,94,92,64,92,https://wefut.com/player/22/20387/manuel-neuer
Hugo Lloris,92,futcaptains,France,93,90,70,95,72,90,https://wefut.com/player/22/20738/hugo-lloris
Petr Čech,92,legend,Czech Republic,92,90,82,93,57,93,https://wefut.com/player/22/20316/petr-cech
Edwin van der Sar,92,legend,Netherlands,88,93,83,91,42,96,https://wefut.com/player/22/20308/edwin-van-der-sar
Thibaut Courtois,92,championsleague,Belgium,90,92,78,92,49,90,https://wefut.com/player/22/21917/thibaut-courtois
Jan Oblak,92,championsleague,Slovenia,89,93,79,92,51,91,https://wefut.com/player/22/20557/jan-oblak
Casillas,92,legend,Spain,93,89,85,95,60,91,https://wefut.com/player/22/18108/casillas
Peter Schmeichel,92,legend,Denmark,92,87,88,94,49,90,https://wefut.com/player/22/18009/peter-schmeichel
Mike Maignan,92,goldblue,France,93,90,93,94,70,93,https://wefut.com/player/22/21932/mike-maignan
Thibaut Courtois,91,laligapotm,Belgium,88,91,77,90,48,89,https://wefut.com/player/22/20402/thibaut-courtois
Thibaut Courtois,91,championsleague,Belgium,88,91,77,90,48,89,https://wefut.com/player/22/21698/thibaut-courtois
Nick Pope,98,playermoments,England,96,97,90,98,55,92,https://wefut.com/player/22/18125/petr-cech
Edwin van der Sar,91,legend,Netherlands,85,90,81,89,40,95,https://wefut.com/player/22/18119/edwin-van-der-sar
Lev Yashin,91,legend,Russia,93,85,73,93,62,92,https://wefut.com/player/22/18/lev-yashin
Manuel Neuer,91,goldif,Germany,90,89,92,90,57,90,https://wefut.com/player/22/18994/manuel-neuer
Jan Oblak,91,goldrare,Slovenia,87,92,78,90,50,90,https://wefut.com/player/22/15/jan-oblak
Samir Handanovič,90,futcaptains,Slovenia,87,88,70,91,51,96,https://wefut.com/player/22/20787/samir-handanovic
Kevin Trapp,90,futheadliners,Germany,91,90,88,92,58,90,https://wefut.com/player/22/18244/kevin-trapp
Gianluigi Donnarumma,90,promo,Italy,92,85,81,91,53,87,https://wefut.com/player/22/17813/gianluigi-donnarumma
Peter Schmeichel,90,legend,Denmark,89,84,85,93,50,86,https://wefut.com/player/22/30/peter-schmeichel
Keylor Navas,90,goldif,Costa Rica,91,88,79,91,56,89,https://wefut.com/player/22/20630/keylor-navas
Thibaut Courtois,90,goldif,Belgium,86,90,75,89,47,88,https://wefut.com/player/22/17901/thibaut-courtois
Marc-André ter Stegen,90,goldrare,Germany,88,85,88,90,43,88,https://wefut.com/player/22/31/marc-andre-ter-stegen
Manuel Neuer,90,goldrare,Germany,88,88,91,88,56,89,https://wefut.com/player/22/29/manuel-neuer
Sergio Rochet,89,eumotm,Uruguay,89,92,81,90,62,90,https://wefut.com/player/22/22159/sergio-rochet
Salvatore Sirigu,89,fantasypurple,Italy,91,86,86,89,53,91,https://wefut.com/player/22/20612/salvatore-sirigu
Édouard Mendy,89,toty,Senegal,90,90,85,92,40,90,https://wefut.com/player/22/18359/edouard-mendy
Casillas,89,legend,Spain,90,88,84,88,58,91,https://wefut.com/player/22/98/casillas
Edwin van der Sar,89,legend,Netherlands,87,86,83,90,47,89,https://wefut.com/player/22/73/edwin-van-der-sar
Lev Yashin,89,legend,Russia,91,86,72,92,64,89,https://wefut.com/player/22/67/lev-yashin
Wojciech Szczęsny,89,goldif,Poland,89,86,76,90,51,89,https://wefut.com/player/22/20499/wojciech-szczesny
Keylor Navas,89,goldif,Costa Rica,90,86,77,90,55,88,https://wefut.com/player/22/17379/keylor-navas
Gianluigi Donnarumma,89,goldrare,Italy,91,83,79,90,52,85,https://wefut.com/player/22/66/gianluigi-donnarumma
Alisson,89,goldrare,Brazil,86,86,84,89,52,90,https://wefut.com/player/22/65/alisson
Ederson,89,goldrare,Brazil,87,82,93,88,64,88,https://wefut.com/player/22/63/ederson
Thibaut Courtois,89,goldrare,Belgium,84,89,74,88,46,86,https://wefut.com/player/22/57/thibaut-courtois
Petr Čech,91,legend,Czech Republic,89,88,80,91,55,87,https://wefut.com/player/22/20550/jose-sa
Mike Maignan,88,wildcard,France,89,86,89,90,54,89,https://wefut.com/player/22/18148/mike-maignan
Kevin Trapp,88,elmotm,Germany,89,89,85,90,54,89,https://wefut.com/player/22/21806/kevin-trapp
Petr Čech,88,legend,Czech Republic,87,87,79,88,51,89,https://wefut.com/player/22/139/petr-cech
Matt Turner,88,goldblue,United States,90,84,80,90,65,92,https://wefut.com/player/22/21969/matt-turner
Fernando,88,goldblue,Spain,88,87,85,90,65,85,https://wefut.com/player/22/21956/fernando
Jean Butez,88,goldblue,France,88,87,90,90,61,87,https://wefut.com/player/22/21901/jean-butez
Uğurcan Çakır,88,goldblue,Turkey,88,83,83,91,68,88,https://wefut.com/player/22/21890/ugurcan-cakir
Adán,88,goldblue,Spain,86,89,85,88,65,90,https://wefut.com/player/22/21794/adan
Vladimir Stojković,88,goldblue,Serbia,86,86,84,88,72,90,https://wefut.com/player/22/21730/vladimir-stojkovic
Michael Cooper,88,goldblue,England,88,87,85,89,50,86,https://wefut.com/player/22/21657/michael-cooper
Samir Handanovič,88,motm,Slovenia,85,85,67,89,49,94,https://wefut.com/player/22/20335/samir-handanovic
Yann Sommer,88,goldif,Switzerland,85,87,87,89,53,89,https://wefut.com/player/22/20675/yann-sommer
Wojciech Szczęsny,88,goldif,Poland,87,84,75,89,50,88,https://wefut.com/player/22/17489/wojciech-szczesny
Keylor Navas,88,goldrare,Costa Rica,89,84,75,89,54,87,https://wefut.com/player/22/110/keylor-navas
Édouard Mendy,87,signature,Senegal,88,88,82,90,38,88,https://wefut.com/player/22/17779/edouard-mendy
Jorge Campos,87,carniball,Mexico,93,83,81,90,84,80,https://wefut.com/player/22/17151/jorge-campos
De Gea,87,plpotm,Spain,89,84,79,90,60,85,https://wefut.com/player/22/18624/de-gea
Casillas,87,legend,Spain,87,84,80,91,61,84,https://wefut.com/player/22/205/casillas
Edwin van der Sar,87,legend,Netherlands,86,83,84,88,49,86,https://wefut.com/player/22/168/edwin-van-der-sar
Lars Unnerstall,87,goldblue,Germany,90,88,82,88,44,87,https://wefut.com/player/22/21564/lars-unnerstall
Kevin Trapp,87,goldif,Germany,88,87,84,89,53,87,https://wefut.com/player/22/21507/kevin-trapp
Koen Casteels,87,goldif,Belgium,86,85,82,88,46,85,https://wefut.com/player/22/19545/koen-casteels
Péter Gulácsi,87,goldif,Hungary,87,87,79,88,45,86,https://wefut.com/player/22/18287/peter-gulacsi
Samir Handanovič,87,goldif,Slovenia,83,83,66,88,48,93,https://wefut.com/player/22/18286/samir-handanovic
José Sá,88,fantasypurple,Portugal,90,88,72,92,52,88,https://wefut.com/player/22/18050/yann-sommer
Wojciech Szczęsny,87,goldrare,Poland,86,82,73,88,49,87,https://wefut.com/player/22/150/wojciech-szczesny
Hugo Lloris,87,goldrare,France,88,83,65,90,61,84,https://wefut.com/player/22/147/hugo-lloris
Aaron Ramsdale,86,futheadliners,England,88,87,82,90,58,87,https://wefut.com/player/22/18196/aaron-ramsdale
Jerzy Dudek,86,carniball,Poland,86,83,78,90,60,85,https://wefut.com/player/22/17144/jerzy-dudek
Petr Čech,86,legend,Czech Republic,86,85,77,86,52,87,https://wefut.com/player/22/254/petr-cech
Peter Schmeichel,86,legend,Denmark,85,81,82,89,52,81,https://wefut.com/player/22/235/peter-schmeichel
Diego López,86,goldif,Spain,86,87,85,86,53,88,https://wefut.com/player/22/21817/diego-lopez
Fernando Muslera,86,goldif,Uruguay,89,86,81,87,66,87,https://wefut.com/player/22/21667/fernando-muslera
Jordan Pickford,86,goldif,England,86,85,90,89,52,85,https://wefut.com/player/22/21666/jordan-pickford
Jeremías Conan Ledesma,86,goldif,Argentina,89,88,77,89,55,86,https://wefut.com/player/22/20826/jeremias-conan-ledesma
Alban Lafont,86,goldif,France,88,87,78,90,55,86,https://wefut.com/player/22/19491/alban-lafont
Mike Maignan,86,goldif,France,86,84,87,88,52,87,https://wefut.com/player/22/19053/mike-maignan
Kasper Schmeichel,86,goldif,Denmark,85,80,81,91,48,85,https://wefut.com/player/22/18207/kasper-schmeichel
Kevin Trapp,86,goldif,Germany,87,84,83,88,52,86,https://wefut.com/player/22/17742/kevin-trapp
Emiliano Martínez,86,goldif,Argentina,87,85,84,87,60,86,https://wefut.com/player/22/17697/emiliano-martinez
Yann Sommer,86,goldif,Switzerland,81,83,85,87,51,87,https://wefut.com/player/22/17631/yann-sommer
Péter Gulácsi,86,goldif,Hungary,86,85,78,87,44,84,https://wefut.com/player/22/17534/peter-gulacsi
Koen Casteels,86,goldrare,Belgium,85,83,80,87,45,84,https://wefut.com/player/22/217/koen-casteels
Samir Handanovič,86,goldrare,Slovenia,81,81,65,87,47,92,https://wefut.com/player/22/211/samir-handanovic
Justin Bijlow,85,mlsobjective,Netherlands,88,83,85,86,65,81,https://wefut.com/player/22/17724/justin-bijlow
Anthony Lopes,85,halloween,Portugal,89,82,65,96,67,84,https://wefut.com/player/22/17609/anthony-lopes
Nick Pope,85,goldif,England,84,86,77,87,51,86,https://wefut.com/player/22/21511/nick-pope
Jordan Pickford,85,goldif,England,85,82,89,88,51,83,https://wefut.com/player/22/20762/jordan-pickford
Walter Benítez,85,goldif,Argentina,86,85,78,88,53,87,https://wefut.com/player/22/19550/walter-benitez
Yann Sommer,87,goldif,Switzerland,83,85,86,88,52,88,https://wefut.com/player/22/18050/yann-sommer
Yann Sommer,85,goldrare,Switzerland,79,81,84,86,50,86,https://wefut.com/player/22/262/yann-sommer
Kasper Schmeichel,85,goldrare,Denmark,84,78,80,90,47,83,https://wefut.com/player/22/259/kasper-schmeichel
Steve Mandanda,84,confleague,France,84,84,81,85,52,85,https://wefut.com/player/22/20812/steve-mandanda
Rui Silva,84,goldif,Portugal,86,82,78,87,34,86,https://wefut.com/player/22/21747/rui-silva
Fraser Forster,84,goldif,England,85,82,74,88,39,84,https://wefut.com/player/22/20830/fraser-forster
Diego López,84,goldif,Spain,83,85,81,83,51,86,https://wefut.com/player/22/20766/diego-lopez
Fernando Muslera,84,goldif,Uruguay,87,83,77,84,64,85,https://wefut.com/player/22/20681/fernando-muslera
David Soria,84,goldif,Spain,85,84,76,85,46,84,https://wefut.com/player/22/20585/david-soria
Marco Bizot,84,goldif,Netherlands,87,84,76,86,53,84,https://wefut.com/player/22/20373/marco-bizot
Andrea Consigli,84,goldif,Italy,85,86,75,86,45,84,https://wefut.com/player/22/19497/andrea-consigli
Mathew Ryan,84,goldif,Australia,86,84,89,86,60,85,https://wefut.com/player/22/18596/mathew-ryan
Jeremías Conan Ledesma,84,goldif,Argentina,87,86,74,87,53,83,https://wefut.com/player/22/18329/jeremias-conan-ledesma
Aitor,84,goldif,Spain,86,82,70,86,59,85,https://wefut.com/player/22/18258/aitor
Alban Lafont,84,goldif,France,86,83,76,88,53,83,https://wefut.com/player/22/18167/alban-lafont
Anthony Lopes,84,goldif,Portugal,86,81,72,89,65,82,https://wefut.com/player/22/17791/anthony-lopes
Kevin Trapp,84,goldif,Germany,85,81,81,86,50,84,https://wefut.com/player/22/17322/kevin-trapp
Yassine Bounou,84,goldif,Morocco,84,82,78,86,38,84,https://wefut.com/player/22/358/yassine-bounou
Mike Maignan,84,goldrare,France,83,81,85,86,50,84,https://wefut.com/player/22/344/mike-maignan
Emiliano Martínez,84,goldrare,Argentina,85,83,82,85,58,83,https://wefut.com/player/22/330/emiliano-martinez
De Gea,84,goldrare,Spain,86,79,76,87,57,79,https://wefut.com/player/22/323/de-gea
Pedro Teixeira,83,season1,Portugal,84,81,80,84,53,83,https://wefut.com/player/22/17654/pedro-teixeira
Guillermo Ochoa,83,goldif,Mexico,83,80,75,86,51,84,https://wefut.com/player/22/20642/guillermo-ochoa
Pacheco,83,goldif,Spain,83,81,73,86,49,85,https://wefut.com/player/22/20374/pacheco
Walter Benítez,83,goldif,Argentina,83,83,75,86,51,84,https://wefut.com/player/22/18261/walter-benitez
Igor Akinfeev,83,goldif,Russia,81,77,81,87,54,85,https://wefut.com/player/22/17844/igor-akinfeev
Gianluigi Buffon,83,goldif,Italy,80,77,73,80,37,93,https://wefut.com/player/22/17577/gianluigi-buffon
Nick Pope,83,goldrare,England,81,83,75,84,49,83,https://wefut.com/player/22/22469/nick-pope
André Onana,83,goldrare,Cameroon,82,80,86,85,61,82,https://wefut.com/player/22/22466/andre-onana
Sergio Asenjo,83,goldrare,Spain,85,83,78,83,57,81,https://wefut.com/player/22/22465/sergio-asenjo
André Onana,83,goldrare,Cameroon,82,80,86,85,61,82,https://wefut.com/player/22/20465/andre-onana
Édouard Mendy,83,goldrare,Senegal,83,82,78,84,35,81,https://wefut.com/player/22/412/edouard-mendy
Jordan Pickford,83,goldrare,England,83,78,87,86,49,80,https://wefut.com/player/22/388/jordan-pickford
Nick Pope,83,goldrare,England,81,83,75,84,49,83,https://wefut.com/player/22/386/nick-pope
Bernd Leno,83,goldrare,Germany,85,80,76,85,55,83,https://wefut.com/player/22/373/bernd-leno
Lukáš Hrádecký,83,goldrare,Finland,85,78,69,87,40,83,https://wefut.com/player/22/371/lukas-hradecky
Sergio Asenjo,83,goldrare,Spain,85,83,78,83,57,81,https://wefut.com/player/22/364/sergio-asenjo
Stefan Ortega,82,goldif,Germany,79,78,90,89,56,79,https://wefut.com/player/22/21752/stefan-ortega
Emil Audero,82,goldif,Italy,84,79,78,86,57,81,https://wefut.com/player/22/21580/emil-audero
Predrag Rajković,82,goldif,Serbia,82,81,80,85,30,83,https://wefut.com/player/22/21578/predrag-rajkovic
Nahuel Guzmán,82,goldif,Argentina,82,81,74,83,54,85,https://wefut.com/player/22/20511/nahuel-guzman
Sergio Herrera,82,goldif,Spain,85,82,79,82,50,80,https://wefut.com/player/22/19010/sergio-herrera
Alban Lafont,82,goldif,France,84,81,74,86,51,80,https://wefut.com/player/22/17324/alban-lafont
Benoît Costil,82,goldif,France,82,81,80,84,52,83,https://wefut.com/player/22/17167/benoit-costil
Dominik Livaković,82,goldrare,Croatia,81,78,74,85,56,80,https://wefut.com/player/22/498/dominik-livakovic
Unai Simón,82,goldrare,Spain,82,77,76,84,47,85,https://wefut.com/player/22/483/unai-simon
