Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Manuel Neuer,96,toty,Germany,95,94,98,96,68,94,https://wefut.com/player/21/19228/manuel-neuer
Lev Yashin,95,legend,Russia,97,92,79,98,62,96,https://wefut.com/player/21/20385/lev-yashin
Manuel Neuer,95,goldblue,Germany,94,93,97,94,66,93,https://wefut.com/player/21/21138/manuel-neuer
Jan Oblak,94,laligapotm,Slovenia,93,95,82,95,53,94,https://wefut.com/player/21/21387/jan-oblak
Yann Sommer,94,swap10,Switzerland,90,94,95,94,57,96,https://wefut.com/player/21/21717/yann-sommer
Lev Yashin,94,legend,Russia,95,89,75,96,60,95,https://wefut.com/player/21/18397/lev-yashin
Keylor Navas,94,goldblue,Costa Rica,97,93,86,97,61,93,https://wefut.com/player/21/21374/keylor-navas
Thibaut Courtois,94,goldblue,Belgium,92,95,80,95,51,92,https://wefut.com/player/21/21129/thibaut-courtois
Ederson,94,goldblue,Brazil,93,90,99,94,75,94,https://wefut.com/player/21/20994/ederson
Peter Schmeichel,93,legend,Denmark,94,89,89,97,49,92,https://wefut.com/player/21/20396/peter-schmeichel
Jan Oblak,93,clfinal,Slovenia,91,94,80,93,52,93,https://wefut.com/player/21/18101/jan-oblak
Petr Čech,92,legend,Czech Republic,92,89,81,92,59,94,https://wefut.com/player/21/20502/petr-cech
Edwin van der Sar,92,legend,Netherlands,88,91,82,94,44,97,https://wefut.com/player/21/20497/edwin-van-der-sar
Claudio Bravo,92,swap10,Chile,92,92,95,93,70,91,https://wefut.com/player/21/21696/claudio-bravo
Peter Schmeichel,92,legend,Denmark,92,87,88,94,49,90,https://wefut.com/player/21/18529/peter-schmeichel
Jan Oblak,92,goldif,Slovenia,89,93,79,92,51,91,https://wefut.com/player/21/20443/jan-oblak
Keylor Navas,91,l1potm,Costa Rica,94,89,82,94,58,89,https://wefut.com/player/21/20928/keylor-navas
Joe Hart,91,flashback,England,86,89,80,93,70,90,https://wefut.com/player/21/20533/joe-hart
Jan Oblak,91,championsleague,Slovenia,87,92,78,90,50,90,https://wefut.com/player/21/17322/jan-oblak
Edwin van der Sar,91,legend,Netherlands,85,90,81,89,40,95,https://wefut.com/player/21/18539/edwin-van-der-sar
Petr Čech,91,legend,Czech Republic,89,88,80,91,55,92,https://wefut.com/player/21/18423/petr-cech
Lev Yashin,91,legend,Russia,93,85,73,93,62,92,https://wefut.com/player/21/17/lev-yashin
Gianluigi Donnarumma,91,goldblue,Italy,94,91,84,94,56,92,https://wefut.com/player/21/21213/gianluigi-donnarumma
Alisson,91,goldif,Brazil,88,90,86,90,53,92,https://wefut.com/player/21/21107/alisson
Jan Oblak,91,goldrare,Slovenia,87,92,78,90,50,90,https://wefut.com/player/21/15/jan-oblak
Keylor Navas,90,championsleague,Costa Rica,93,87,80,93,57,88,https://wefut.com/player/21/20602/keylor-navas
Alisson,90,championsleague,Brazil,86,88,85,89,52,91,https://wefut.com/player/21/17327/alisson
Marc-André ter Stegen,90,championsleague,Germany,88,85,88,90,43,88,https://wefut.com/player/21/17323/marc-andre-ter-stegen
Peter Schmeichel,90,legend,Denmark,89,84,85,93,50,86,https://wefut.com/player/21/27/peter-schmeichel
Samir Handanovič,90,goldif,Slovenia,91,89,76,91,55,91,https://wefut.com/player/21/20334/samir-handanovic
Manuel Neuer,90,goldif,Germany,89,88,92,90,57,88,https://wefut.com/player/21/18237/manuel-neuer
Thibaut Courtois,90,goldif,Belgium,86,90,75,90,47,86,https://wefut.com/player/21/16264/thibaut-courtois
Alisson,90,goldrare,Brazil,86,88,85,89,52,91,https://wefut.com/player/21/32/alisson
Marc-André ter Stegen,90,goldrare,Germany,88,85,88,90,43,88,https://wefut.com/player/21/28/marc-andre-ter-stegen
Thibaut Courtois,89,championsleague,Belgium,84,89,74,88,46,85,https://wefut.com/player/21/17333/thibaut-courtois
Manuel Neuer,89,championsleague,Germany,87,87,91,89,56,86,https://wefut.com/player/21/17332/manuel-neuer
Edwin van der Sar,89,legend,Netherlands,87,86,83,90,47,89,https://wefut.com/player/21/65/edwin-van-der-sar
Lev Yashin,89,legend,Russia,91,86,72,92,64,89,https://wefut.com/player/21/59/lev-yashin
Alphonse Areola,89,goldblue,France,91,86,86,92,62,88,https://wefut.com/player/21/20945/alphonse-areola
Keylor Navas,89,goldif,Costa Rica,92,85,79,92,56,86,https://wefut.com/player/21/18784/keylor-navas
Samir Handanovič,89,goldif,Slovenia,89,87,75,90,54,90,https://wefut.com/player/21/18667/samir-handanovic
Ederson,89,goldif,Brazil,87,84,94,89,65,88,https://wefut.com/player/21/17823/ederson
Thibaut Courtois,89,goldrare,Belgium,84,89,74,88,46,85,https://wefut.com/player/21/57/thibaut-courtois
Manuel Neuer,89,goldrare,Germany,87,87,91,89,56,86,https://wefut.com/player/21/55/manuel-neuer
Keylor Navas,88,promo,Costa Rica,91,83,77,91,55,84,https://wefut.com/player/21/18339/keylor-navas
Ederson,88,championsleague,Brazil,86,82,93,88,64,86,https://wefut.com/player/21/17339/ederson
Samir Handanovič,88,championsleague,Slovenia,88,85,73,89,53,89,https://wefut.com/player/21/17335/samir-handanovic
Steve Mandanda,88,birthday,France,87,87,84,89,54,88,https://wefut.com/player/21/20812/steve-mandanda
Thibaut Courtois,91,goldif,Belgium,88,91,76,91,48,88,https://wefut.com/player/21/130/petr-cech
Ederson,88,goldrare,Brazil,86,82,93,88,64,86,https://wefut.com/player/21/101/ederson
Samir Handanovič,88,goldrare,Slovenia,88,85,73,89,53,89,https://wefut.com/player/21/95/samir-handanovic
Andriy Lunin,87,futurestars,Ukraine,84,87,84,87,49,89,https://wefut.com/player/21/19560/andriy-lunin
Keylor Navas,87,championsleague,Costa Rica,90,81,75,90,54,82,https://wefut.com/player/21/17349/keylor-navas
Wojciech Szczęsny,87,championsleague,Poland,86,82,73,88,49,87,https://wefut.com/player/21/17346/wojciech-szczesny
Gabriel Arias,87,eumotm,Chile,89,85,86,90,47,90,https://wefut.com/player/21/21450/gabriel-arias
Edwin van der Sar,87,legend,Netherlands,86,83,84,88,49,86,https://wefut.com/player/21/163/edwin-van-der-sar
Andre Blake,87,goldblue,Jamaica,87,85,82,91,60,87,https://wefut.com/player/21/21407/andre-blake
Kasper Schmeichel,87,motm,Denmark,86,83,86,92,56,84,https://wefut.com/player/21/21222/kasper-schmeichel
Gianluigi Donnarumma,87,special,Italy,91,84,79,91,51,86,https://wefut.com/player/21/18272/gianluigi-donnarumma
Yann Sommer,87,goldif,Switzerland,81,87,87,86,51,89,https://wefut.com/player/21/18162/yann-sommer
Keylor Navas,87,goldrare,Costa Rica,90,81,75,90,54,82,https://wefut.com/player/21/146/keylor-navas
Wojciech Szczęsny,87,goldrare,Poland,86,82,73,88,49,87,https://wefut.com/player/21/142/wojciech-szczesny
Hugo Lloris,87,goldrare,France,89,82,68,90,64,84,https://wefut.com/player/21/138/hugo-lloris
Lukáš Hrádecký,86,futheadliners,Finland,88,82,73,91,43,87,https://wefut.com/player/21/18725/lukas-hradecky
De Gea,86,championsleague,Spain,88,81,78,89,57,82,https://wefut.com/player/21/17366/de-gea
Yann Sommer,86,championsleague,Switzerland,80,86,85,85,50,87,https://wefut.com/player/21/17361/yann-sommer
Petr Čech,86,legend,Czech Republic,86,85,77,86,52,87,https://wefut.com/player/21/240/petr-cech
Peter Schmeichel,86,legend,Denmark,85,81,82,89,52,81,https://wefut.com/player/21/221/peter-schmeichel
Adán,86,goldblue,Spain,85,87,84,88,60,88,https://wefut.com/player/21/21168/adan
Tim Krul,86,goldblue,Netherlands,86,84,76,87,50,84,https://wefut.com/player/21/20955/tim-krul
Salvatore Sirigu,86,goldif,Italy,87,84,79,85,52,86,https://wefut.com/player/21/21111/salvatore-sirigu
Andrea Consigli,86,goldif,Italy,87,87,80,88,48,87,https://wefut.com/player/21/21027/andrea-consigli
Martin Dúbravka,86,goldif,Slovakia,84,85,84,89,51,86,https://wefut.com/player/21/20969/martin-dubravka
Petr Čech,88,legend,Czech Republic,87,87,79,88,51,89,https://wefut.com/player/21/130/petr-cech
Ederson,88,goldrare,Brazil,86,82,93,88,64,86,https://wefut.com/player/21/101/ederson
Samir Handanovič,88,goldrare,Slovenia,88,85,73,89,53,89,https://wefut.com/player/21/95/samir-handanovic
Pacheco,86,goldif,Spain,86,84,75,88,50,88,https://wefut.com/player/21/18291/pacheco
Bernd Leno,86,goldif,Germany,86,85,81,87,56,86,https://wefut.com/player/21/18239/bernd-leno
Péter Gulácsi,86,goldif,Hungary,86,86,83,87,44,86,https://wefut.com/player/21/17247/peter-gulacsi
De Gea,86,goldrare,Spain,88,81,78,89,57,82,https://wefut.com/player/21/212/de-gea
Yann Sommer,86,goldrare,Switzerland,80,86,85,85,50,87,https://wefut.com/player/21/207/yann-sommer
Péter Gulácsi,85,championsleague,Hungary,84,85,82,86,43,84,https://wefut.com/player/21/17376/peter-gulacsi
Alan Mannus,85,goldblue,Northern Ireland,84,87,84,85,55,86,https://wefut.com/player/21/21412/alan-mannus
Liu Dianzuo,85,goldblue,China PR,84,82,80,87,67,85,https://wefut.com/player/21/21258/liu-dianzuo
Remko Pasveer,85,goldblue,Netherlands,85,84,95,85,57,86,https://wefut.com/player/21/21257/remko-pasveer
Altay Bayındır,85,goldblue,Turkey,88,80,79,89,35,80,https://wefut.com/player/21/21103/altay-bayindir
Marcelo Grohe,85,goldblue,Brazil,85,84,80,88,50,86,https://wefut.com/player/21/21020/marcelo-grohe
Martin Dúbravka,85,goldif,Slovakia,82,83,83,88,50,85,https://wefut.com/player/21/20792/martin-dubravka
Koen Casteels,85,goldif,Belgium,85,84,83,87,47,85,https://wefut.com/player/21/18125/koen-casteels
Lukáš Hrádecký,85,goldif,Finland,87,80,71,90,42,85,https://wefut.com/player/21/18016/lukas-hradecky
