Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
De Gea,97,toty,Spain,97,91,95,98,75,93,https://wefut.com/player/19/19112/pele
Lev Yashin,95,legend,Russia,98,90,76,99,66,98,https://wefut.com/player/19/19640/lionel-messi
Gianluigi Donnarumma,95,goldblue,Italy,98,95,90,97,62,94,https://wefut.com/player/19/20274/gianluigi-donnarumma
Jan Oblak,95,goldblue,Slovenia,94,97,85,95,55,95,https://wefut.com/player/19/20177/jan-oblak
Yann Sommer,95,goldblue,Switzerland,94,93,93,95,70,93,https://wefut.com/player/19/20113/yann-sommer
Kevin Trapp,95,goldblue,Germany,95,88,90,95,65,94,https://wefut.com/player/19/20102/kevin-trapp
Alisson,95,goldblue,Brazil,94,93,95,97,70,96,https://wefut.com/player/19/19856/alisson
Ederson,94,goldblue,Brazil,93,92,95,95,82,93,https://wefut.com/player/19/19869/ederson
Thibaut Courtois,94,swap-reward,Belgium,92,95,80,93,52,92,https://wefut.com/player/19/20729/thibaut-courtois
Lev Yashin,94,legend,Russia,95,89,75,96,65,95,https://wefut.com/player/19/13315/lev-yashin
Peter Schmeichel,93,legend,Denmark,94,90,90,96,54,93,https://wefut.com/player/19/18523/peter-schmeichel
Walter Benítez,93,goldblue,Argentina,93,93,85,94,65,93,https://wefut.com/player/19/20314/walter-benitez
Salvatore Sirigu,93,goldblue,Italy,94,89,88,93,65,93,https://wefut.com/player/19/20263/salvatore-sirigu
Marc-André ter Stegen,93,goldblue,Germany,92,90,93,94,44,90,https://wefut.com/player/19/19779/marc-andre-ter-stegen
De Gea,93,goldif,Spain,92,88,90,96,61,91,https://wefut.com/player/19/17118/de-gea
Yann Sommer,92,headliners,Switzerland,90,89,89,91,57,88,https://wefut.com/player/19/17237/yann-sommer
De Gea,92,promo,Spain,91,87,89,95,59,89,https://wefut.com/player/19/16888/de-gea
De Gea,92,championsleague,Spain,91,86,88,95,58,89,https://wefut.com/player/19/16667/de-gea
Peter Schmeichel,92,legend,Denmark,92,87,88,94,52,90,https://wefut.com/player/19/13316/peter-schmeichel
