Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Cristiano Ronaldo,99,LW,goldblue,Portugal,98,99,91,99,48,92,https://wefut.com/player/17/20645/cristiano-ronaldo
Lionel Messi,99,RW,goldblue,Argentina,97,99,98,99,45,82,https://wefut.com/player/17/20643/lionel-messi
Cristiano Ronaldo,99,LW,toty,Portugal,98,99,92,98,50,94,https://wefut.com/player/17/16682/cristiano-ronaldo
Cristiano Ronaldo,98,ST,bluemotm,Portugal,96,97,90,96,42,88,https://wefut.com/player/17/19807/cristiano-ronaldo
Gonzalo Higuaín,98,ST,goldblue,Argentina,89,99,91,98,50,96,https://wefut.com/player/17/20720/gonzalo-higuain
Neymar,98,LW,goldblue,Brazil,97,98,97,99,48,83,https://wefut.com/player/17/20633/neymar
Robert Lewandowski,98,ST,goldblue,Poland,89,99,93,98,57,97,https://wefut.com/player/17/20276/robert-lewandowski
Eden Hazard,98,LW,goldblue,Belgium,98,96,96,99,50,84,https://wefut.com/player/17/20180/eden-hazard
Cristiano Ronaldo,98,LW,special,Portugal,96,97,90,96,42,88,https://wefut.com/player/17/19575/cristiano-ronaldo
Lionel Messi,98,RW,toty,Argentina,97,99,97,99,45,80,https://wefut.com/player/17/16684/lionel-messi
Luis Suárez,98,ST,toty,Uruguay,93,99,92,97,60,93,https://wefut.com/player/17/16683/luis-suarez
Neymar,97,LW,redgold,Brazil,96,93,92,99,42,77,https://wefut.com/player/17/20421/neymar
Cristiano Ronaldo,97,LW,redgold,Portugal,95,96,87,95,40,86,https://wefut.com/player/17/19529/cristiano-ronaldo
Luis Suárez,97,ST,goldblue,Uruguay,87,98,91,95,55,91,https://wefut.com/player/17/20644/luis-suarez
Zlatan Ibrahimović,97,ST,goldblue,Sweden,82,99,96,97,52,98,https://wefut.com/player/17/20189/zlatan-ibrahimovic
Lionel Messi,97,ST,goldif,Argentina,93,97,95,99,40,77,https://wefut.com/player/17/23226/lionel-messi
Neymar,97,LW,goldif,Brazil,96,94,93,98,41,78,https://wefut.com/player/17/22780/neymar
Neymar,97,LW,goldif,Brazil,96,93,92,99,42,77,https://wefut.com/player/17/20153/neymar
Cristiano Ronaldo,97,LW,goldif,Portugal,95,96,87,95,40,86,https://wefut.com/player/17/19323/cristiano-ronaldo
Francesco Totti,96,CF,premiumsbc,Italy,89,97,99,97,35,88,https://wefut.com/player/17/20836/francesco-totti
Lionel Messi,96,CAM,redgold,Argentina,92,95,91,99,35,71,https://wefut.com/player/17/19808/lionel-messi
Neymar,96,LW,redgold,Brazil,95,92,91,99,40,74,https://wefut.com/player/17/19530/neymar
