Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Cristiano Ronaldo,99,LW,goldblue,Portugal,99,99,93,99,48,91,https://wefut.com/player/16/17762/cristiano-ronaldo
Lionel Messi,99,RW,toty,Argentina,99,98,97,99,40,75,https://wefut.com/player/16/15315/lionel-messi
Zlatan Ibrahimović,98,ST,goldblue,Sweden,84,99,96,96,43,97,https://wefut.com/player/16/17852/zlatan-ibrahimovic
Luis Suárez,98,ST,goldblue,Uruguay,92,99,96,98,60,96,https://wefut.com/player/16/17763/luis-suarez
Lionel Messi,98,RW,goldblue,Argentina,98,97,96,98,35,71,https://wefut.com/player/16/17761/lionel-messi
Robert Lewandowski,98,ST,goldblue,Poland,90,99,89,97,50,94,https://wefut.com/player/16/17664/robert-lewandowski
Cristiano Ronaldo,98,LW,toty,Portugal,98,98,91,98,45,89,https://wefut.com/player/16/15316/cristiano-ronaldo
Cristiano Ronaldo,97,ST,imotm,Portugal,96,97,88,95,42,86,https://wefut.com/player/16/18189/cristiano-ronaldo
Lionel Messi,97,CF,imotm,Argentina,95,93,92,98,28,67,https://wefut.com/player/16/18090/lionel-messi
Cristiano Ronaldo,97,LW,motm,Portugal,96,97,88,95,42,86,https://wefut.com/player/16/17290/cristiano-ronaldo
Neymar,97,LW,toty,Brazil,98,95,90,99,40,73,https://wefut.com/player/16/15317/neymar
Luis Suárez,97,ST,purple,Uruguay,89,96,93,96,55,92,https://wefut.com/player/16/17346/luis-suarez
Lionel Messi,97,RW,goldif,Argentina,96,94,93,98,30,68,https://wefut.com/player/16/20867/lionel-messi
Cristiano Ronaldo,97,LW,goldif,Portugal,96,97,88,95,42,86,https://wefut.com/player/16/17047/cristiano-ronaldo
Neymar,96,LW,goldblue,Brazil,97,94,88,98,39,71,https://wefut.com/player/16/17769/neymar
Zlatan Ibrahimović,96,ST,motm,Sweden,80,98,94,94,40,95,https://wefut.com/player/16/17824/zlatan-ibrahimovic
Lionel Messi,96,RW,goldif,Argentina,94,92,90,97,27,65,https://wefut.com/player/16/17046/lionel-messi
Luis Suárez,96,ST,goldif,Uruguay,88,95,91,95,52,91,https://wefut.com/player/16/16559/luis-suarez
Cristiano Ronaldo,96,LW,goldif,Portugal,95,96,86,93,40,85,https://wefut.com/player/16/14583/cristiano-ronaldo
Pelé,95,CF,legend,Brazil,95,89,89,94,53,73,https://wefut.com/player/16/4993/pele
Gonzalo Higuaín,95,ST,goldblue,Argentina,90,98,83,93,34,85,https://wefut.com/player/16/17874/gonzalo-higuain
Hulk,95,RM,goldblue,Brazil,92,96,94,93,52,94,https://wefut.com/player/16/17801/hulk
Karim Benzema,95,ST,goldblue,France,91,96,90,93,31,89,https://wefut.com/player/16/17770/karim-benzema
Antoine Griezmann,95,ST,goldblue,France,95,97,93,96,44,85,https://wefut.com/player/16/17768/antoine-griezmann
Diego Godín,95,CB,goldblue,Uruguay,78,64,80,76,98,96,https://wefut.com/player/16/17756/diego-godin
Iniesta,95,CM,toty,Spain,82,81,98,96,67,72,https://wefut.com/player/16/14943/iniesta
Lionel Messi,95,RW,purple,Argentina,93,90,88,96,25,63,https://wefut.com/player/16/16704/lionel-messi
Cristiano Ronaldo,95,LW,purple,Portugal,94,95,84,92,37,83,https://wefut.com/player/16/14266/cristiano-ronaldo
Kevin De Bruyne,95,CM,goldif,Belgium,86,96,99,97,56,93,https://wefut.com/player/16/21345/kevin-de-bruyne
Gareth Bale,95,RW,goldif,Wales,99,96,95,93,58,82,https://wefut.com/player/16/20865/gareth-bale
Zlatan Ibrahimović,95,ST,goldif,Sweden,79,97,93,93,39,94,https://wefut.com/player/16/17078/zlatan-ibrahimovic
Luis Suárez,95,ST,goldif,Uruguay,87,94,89,94,50,90,https://wefut.com/player/16/15328/luis-suarez
Gareth Bale,94,CAM,imotm,Wales,99,95,94,94,75,93,https://wefut.com/player/16/18440/gareth-bale
Ángel Di María,94,RW,goldblue,Argentina,96,92,95,94,60,85,https://wefut.com/player/16/17851/angel-di-maria
Thomas Müller,94,CF,goldblue,Germany,85,95,92,90,54,85,https://wefut.com/player/16/17663/thomas-muller
Mesut Özil,94,CAM,goldblue,Germany,80,86,98,95,35,70,https://wefut.com/player/16/17568/mesut-ozil
Kevin De Bruyne,94,CAM,pink,Belgium,85,95,98,96,55,92,https://wefut.com/player/16/19915/kevin-de-bruyne
Zlatan Ibrahimović,94,ST,motm,Sweden,78,96,92,92,38,93,https://wefut.com/player/16/17062/zlatan-ibrahimovic
Luis Suárez,94,ST,motm,Uruguay,86,93,87,93,48,88,https://wefut.com/player/16/14619/luis-suarez
Thiago Silva,94,CB,toty,Brazil,82,65,81,80,96,89,https://wefut.com/player/16/14917/thiago-silva
Sergio Ramos,94,CB,toty,Spain,86,70,80,74,95,90,https://wefut.com/player/16/14916/sergio-ramos
Gonzalo Higuaín,94,ST,goldif,Argentina,89,98,82,92,34,84,https://wefut.com/player/16/21348/gonzalo-higuain
Robert Lewandowski,94,ST,goldif,Poland,86,97,86,94,47,91,https://wefut.com/player/16/20885/robert-lewandowski
Cristiano Ronaldo,94,LW,goldif,Portugal,93,94,82,91,35,80,https://wefut.com/player/16/14180/cristiano-ronaldo
Lionel Messi,94,RW,goldrare,Argentina,92,88,86,95,24,62,https://wefut.com/player/16/1682/lionel-messi
Gonzalo Higuaín,93,ST,imotm,Argentina,88,97,82,92,34,83,https://wefut.com/player/16/18205/gonzalo-higuain
Gareth Bale,93,ST,imotm,Wales,99,93,92,93,74,92,https://wefut.com/player/16/18089/gareth-bale
Franz Beckenbauer,93,CB,legend,Germany,82,69,83,79,94,81,https://wefut.com/player/16/2336/franz-beckenbauer
Thiago Silva,93,CB,goldblue,Brazil,80,64,80,79,95,88,https://wefut.com/player/16/17844/thiago-silva
Mats Hummels,93,CB,goldblue,Germany,71,67,86,80,95,88,https://wefut.com/player/16/17657/mats-hummels
Harry Kane,93,ST,goldblue,England,83,95,86,92,55,91,https://wefut.com/player/16/17571/harry-kane
Riyad Mahrez,93,RM,goldblue,Algeria,93,92,92,94,45,80,https://wefut.com/player/16/17567/riyad-mahrez
Luka Modrić,93,CM,toty,Croatia,83,83,91,95,78,75,https://wefut.com/player/16/14945/luka-modric
Paul Pogba,93,CM,toty,France,84,87,90,93,80,94,https://wefut.com/player/16/14944/paul-pogba
Robert Lewandowski,93,ST,goldif,Poland,85,96,84,93,46,90,https://wefut.com/player/16/17332/robert-lewandowski
Neymar,93,LW,goldif,Brazil,93,91,83,96,35,65,https://wefut.com/player/16/16851/neymar
Zlatan Ibrahimović,93,ST,goldif,Sweden,77,95,90,91,37,92,https://wefut.com/player/16/16715/zlatan-ibrahimovic
Luis Suárez,93,ST,goldif,Uruguay,85,92,85,92,46,86,https://wefut.com/player/16/14582/luis-suarez
Cristiano Ronaldo,93,ST,goldrare,Portugal,92,93,80,90,33,78,https://wefut.com/player/16/17139/cristiano-ronaldo
Cristiano Ronaldo,93,LW,goldrare,Portugal,92,93,80,90,33,78,https://wefut.com/player/16/194/cristiano-ronaldo
Kevin De Bruyne,92,CAM,imotm,Belgium,83,92,95,93,51,89,https://wefut.com/player/16/18445/kevin-de-bruyne
Antoine Griezmann,92,RW,imotm,France,94,96,92,95,43,84,https://wefut.com/player/16/18439/antoine-griezmann
Eden Hazard,92,LM,imotm,Belgium,93,90,89,95,38,71,https://wefut.com/player/16/18436/eden-hazard
Francesco Totti,92,CF,imotm,Italy,78,89,91,93,25,74,https://wefut.com/player/16/18246/francesco-totti
Gonzalo Higuaín,92,ST,imotm,Argentina,87,96,81,91,33,82,https://wefut.com/player/16/18160/gonzalo-higuain
Kaká,92,CAM,imotm,Brazil,90,90,88,93,31,68,https://wefut.com/player/16/18138/kaka
Iniesta,92,CM,imotm,Spain,79,80,93,95,63,68,https://wefut.com/player/16/18096/iniesta
Franco Baresi,92,CB,legend,Italy,76,39,73,70,94,82,https://wefut.com/player/16/2241/franco-baresi
Paolo Maldini,92,CB,legend,Italy,86,56,74,67,95,80,https://wefut.com/player/16/27/paolo-maldini
Paul Pogba,92,CM,goldblue,France,83,86,89,92,80,93,https://wefut.com/player/16/17871/paul-pogba
Miranda,92,CB,goldblue,Brazil,82,60,63,70,95,88,https://wefut.com/player/16/17870/miranda
Alexandre Lacazette,92,ST,goldblue,France,95,94,88,92,43,85,https://wefut.com/player/16/17849/alexandre-lacazette
Luka Modrić,92,CM,goldblue,Croatia,82,82,90,94,77,74,https://wefut.com/player/16/17759/luka-modric
Zlatan Ibrahimović,92,ST,motm,Sweden,76,94,88,90,36,91,https://wefut.com/player/16/14489/zlatan-ibrahimovic
Dani Alves,92,RB,toty,Brazil,93,80,88,91,90,82,https://wefut.com/player/16/14918/dani-alves
Neymar,92,LW,goldif,Brazil,92,89,80,95,33,62,https://wefut.com/player/16/16850/neymar
Robert Lewandowski,92,ST,goldif,Poland,84,95,82,92,44,89,https://wefut.com/player/16/16210/robert-lewandowski
Luis Suárez,92,ST,goldif,Uruguay,84,91,83,91,45,84,https://wefut.com/player/16/14513/luis-suarez
Antoine Griezmann,91,CAM,imotm,France,93,95,91,94,42,83,https://wefut.com/player/16/18431/antoine-griezmann
Andrea Pirlo,91,CDM,imotm,Italy,60,72,98,87,67,66,https://wefut.com/player/16/18242/andrea-pirlo
